Numero Scheda;Nome File;Nome Prodotto;Elementi Etichetta;Peso Specifico (g/cm3);Caratteristiche Particelle;VOC Espressi;Limite Massimo VOC
047;SDS - DIAMANT BASE BO - IT - Rev. 2.pdf;DIAMANT BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P273;1.4 Metodo:Picnometro;non applicabile;11.73;40.00
080;SDS - RE-23 BATTERICIDA - IT - Rev. 2.pdf;RE-23;EUH071, H301, H302, H311, H314, H317, H318, H330, H400, H410, H411, P101, P102, P273, P280, P391, P501;1 Metodo:Picnometro;non applicabile;N/D;N/D
090;SDS - RESTUCCO - IT - Rev. 2.pdf;RESTUCCO;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;N/D;N/D
091;SDS - USA20 - PLASTER MIX - IT - Rev. 2.pdf;PLASTER MIX;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;N/D;N/D
093;SDS - USA20GF - READY FINE - IT - Rev. 2.pdf;READY FINE;EUH071, EUH208, EUH210, H301, H310, H314, H315, H317, H318, H319, H330, H400, H410, P101, P102, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;N/D;N/D
100;SDS - RECOAT 0.5 MM ACRILICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
101;SDS - RECOAT 0.5 MM ACRILICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
102;SDS - RECOAT 0.5 MM ACRIL-SILOSSANICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
103;SDS - RECOAT 0.5 MM ACRIL-SILOSSANICO BASE BO - IT - Rev. 1.pdf;RECOAT ACRIL-SILOSSANICO BASE BO;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
110;SDS - RECOAT 1.0 MM ACRILICO BASE BIANCA - IT - Rev. 1.pdf;RECOAT ACRILICO BASE BIANCA;EUH071, EUH208, H301, H302, H310, H311, H314, H315, H317, H318, H319, H330, H372, H400, H410, H412, P101, P102, P273, P501;1.6 g/cm3 Metodo:Picnometro;non applicabile;8.13;40.00
